leftWES,leftESH,leftSHK,leftHKA,rightWES,rightESH,rightSHK,rightHKA,yoga
173.0687003433069,21.52207792397132,142.37967576115716,136.65622471788978,177.4752190605418,26.85246690782579,140.24525066646012,138.89900797199346,1
172.6043582932457,21.296012615603185,142.89527541261975,135.94215370334317,177.2441175202964,26.97026987462296,141.29891531137218,137.51157957525376,1
172.35032732599277,20.93697963006948,143.03367896461523,135.48113448453344,177.09459630088142,26.810645846234703,141.3075780892439,138.2664339454668,1
172.35563186572531,21.00057389030779,142.64355851047992,135.74927212169442,177.17660175721812,26.93938226525119,141.4084909244788,136.92296052173694,1
172.34228779977397,21.08176870223442,142.5008854615813,136.1215464688146,177.3905044307432,26.976293586837222,140.81847765102378,137.31038030688362,1
172.77844584820747,21.1103433661844,142.4070184566446,136.3101679347155,177.7364791651905,27.01646338679875,140.54050080605143,137.99126655473592,1
173.24623051302908,21.24677859605092,143.0552333036776,135.19689819686403,177.73517498782618,26.85325556163646,140.7849108060379,137.4755076199271,1
173.5186468613313,21.40248245719929,142.5795860631956,135.99635007382986,177.90340765676407,26.854501445073065,139.49948186971125,139.81561022070542,1
173.41021848872097,21.367811889793977,142.8371724353237,135.1825513358288,177.84979313467966,26.756267285120483,139.7170513485703,139.52510304699885,1
173.78668488364917,21.649808285444024,142.79480775952652,135.15397074443467,177.80739108600588,26.89571918476641,139.87738462297793,139.3678168653654,1
173.80550795594033,21.740662805300623,142.93680390191503,134.83717936919894,177.60654556688445,26.69145708394917,139.95856190103885,139.47013403013355,1
173.63324505052034,21.75070617672732,142.63150974689867,134.99274469321517,178.09072505152017,26.95971381823176,139.56698155022545,139.26856216845275,1
173.47750921471075,21.5012110300581,142.1750386639384,135.40738757069522,177.9789271182551,26.931261162539297,138.7947433650452,140.22319058677994,1
172.6877833766219,21.30729587802313,141.9746420897223,136.0445626910909,178.0006739103783,26.94684593252268,138.21758034038774,140.82142219843269,1
173.3651050780644,21.47816470559997,141.7925438441458,136.6260548357103,178.3403154836385,27.133392534159054,138.47764607084557,140.84347778358807,1
173.24380077324258,21.58437604484555,142.30101163004605,136.08061854718574,178.21680432195015,27.26220234169746,138.64288775126172,141.08408053513634,1
173.2581112144491,21.49967337946141,142.41872082031824,135.9090637735374,178.2213787917476,27.11911849396072,138.41084962260888,141.31782313728158,1
173.48549924000488,21.51793406953437,142.54139271516635,135.24476816685464,178.2724095172152,27.31358978086148,138.9888658155886,140.1492792681187,1
173.35173239794528,21.63058846767641,142.54148213908377,135.3772882502968,178.17639974086265,27.34017057271092,138.9734012820197,140.2741120420391,1
172.8917311902784,21.20425857342008,142.2360975514037,135.5576920756949,177.85322360104942,27.14064771478288,138.62795119979117,140.64399822252332,1
171.7813668770691,20.607930913913776,141.45678705372748,136.57405483255027,176.8696759384079,26.237560388419865,137.7463151428414,140.7846890295107,1
172.27658864017508,20.857312319364794,141.3562384963232,135.84592297920346,176.81536247209104,26.229209790851968,137.59427334175032,139.77488455303467,1
172.46925733654714,20.88722423002656,141.27669589355008,136.78584420215728,176.7183870529856,26.127739914940097,137.4140400143429,141.06738131121014,1
172.53171887572836,21.07497547484733,141.93141305137817,137.19720328875965,176.87257062940782,26.35495150834709,137.80959219882692,141.37387893784077,1
172.46295751176186,21.01763002064348,141.73583021141567,137.02107515776655,177.08688165973845,26.44198292322256,137.56120568814123,141.63168318089717,1
173.43306948631593,21.265041893209503,141.85171832021345,137.2413388837686,177.45219417762436,26.39086295933057,137.34820507314305,141.99880439877938,1
172.98401687513692,21.211794268032325,141.2797680632737,137.94181411275295,177.30581298898798,26.569132509464392,137.76575390384505,142.05855725600912,1
172.42289946308637,21.268096795818664,141.38301255988313,137.61420617542146,177.42571279105857,26.747440930584848,138.00274406810198,141.78861952934326,1
172.49357950076345,21.386145448334847,141.92843407422345,137.2494523489106,177.4491884817731,26.78101704588032,138.20189537370854,141.43427004337275,1
172.18560984017947,20.7639780789254,141.857273670326,137.17510149196593,177.12302058008902,26.591033502414746,138.16182007573008,140.87724048072977,1
